dataid,time,use,gen
114,2009/1/16 0:00,1.3072,-0.004566667
114,2009/1/16 1:00,1.2859,-0.003516667
114,2009/1/16 2:00,1.0399667,-0.0034
114,2009/1/16 3:00,1.7420833,-0.004566667
114,2009/1/16 4:00,3.9702833,-0.00405
114,2009/1/16 5:00,2.4325666,-0.003383333
114,2009/1/16 6:00,1.0230334,-0.005216667
114,2009/1/16 7:00,0.81588334,0.022133334
114,2009/1/16 8:00,0.99715,0.20061667
114,2009/1/16 9:00,0.90698332,1.0915
114,2009/1/16 10:00,1.4449333,1.7227499
114,2009/1/16 11:00,1.8487,1.9143333
114,2009/1/16 12:00,1.89305,2.3186834
114,2009/1/16 13:00,1.6824833,2.1927166
114,2009/1/16 14:00,1.6033334,2.3641
114,2009/1/16 15:00,2.4844501,1.93765
114,2009/1/16 16:00,2.9345334,1.6196166
114,2009/1/16 17:00,3.0294499,0.58308333
114,2009/1/16 18:00,2.3631334,0.19326666
114,2009/1/16 19:00,2.7337501,0.0132
114,2009/1/16 20:00,3.1990333,-0.01025
114,2009/1/16 21:00,2.5520501,-0.0104
114,2009/1/16 22:00,1.3831482,-0.006759259
114,2009/1/16 23:00,1.829356,-0.002627119
114,2009/2/16 0:00,1.9905179,-0.002035714
114,2009/2/16 1:00,1.8286957,-0.002217391
114,2009/2/16 2:00,1.5306904,-0.002357143
114,2009/2/16 3:00,1.193,-0.004047619
114,2009/2/16 4:00,1.41164,-0.00376
114,2009/2/16 5:00,1.0878372,-0.006023256
114,2009/2/16 6:00,0.91789472,-0.011719299
114,2009/2/16 7:00,1.093431,0.079568967
114,2009/2/16 8:00,0.69616324,0.43151021
114,2009/2/16 9:00,1.9920182,0.80361819
114,2009/2/16 10:00,1.9765581,1.5003953
114,2009/2/16 11:00,2.9287143,2.3899643
114,2009/2/16 12:00,3.4600651,2.4556305
114,2009/2/16 13:00,3.4915581,1.7500232
114,2009/2/16 14:00,2.4501667,1.5240417
114,2009/2/16 15:00,2.831852,1.4839075
114,2009/2/16 16:00,2.4287169,1.1086981
114,2009/2/16 17:00,2.3971429,0.69963264
114,2009/2/16 18:00,1.7101001,0.1059
114,2009/2/16 19:00,2.1470878,-0.00931579
114,2009/2/16 20:00,1.74415,-0.0111
114,2009/2/16 21:00,1.6683667,-0.008583333
114,2009/2/16 22:00,1.387,-0.004674419
114,2009/2/16 23:00,1.6443864,-0.002704545
114,2009/3/16 0:00,0.83280951,-0.005214286
114,2009/3/16 1:00,1.1454905,-0.005528302
114,2009/3/16 2:00,4.0422182,-0.004781818
114,2009/3/16 3:00,4.1610546,-0.004254546
114,2009/3/16 4:00,4.8917665,-0.0045
114,2009/3/16 5:00,0.78076923,-0.004948718
114,2009/3/16 6:00,0.66927588,-0.005137931
114,2009/3/16 7:00,0.82343394,0.1124717
